Chip ID,Technology Node,FSDOI Type,Gate Density,Substrate Type,Power Consumption,Thermal Dispersion Efficiency,Mechanical Stress Resistance,Temperature Range,Humidity Levels,Vibration Levels,External Load Stress,Thermal Stress,Mechanical Stress,Electrical Density,Electromigration Risk,Deformation,Thermal Test Result,Mechanical Stress Test Result,Failure Mode,Failure Rate (%),MTTF (hours),Reliability Score,Failure Rate Comparison,Statistical Significance
Chip001,5,Thick Layer,989,Silicon,3.12,70.364436513031,195.48182400614584,-20°C to 85°C,80,Medium,48,124.04184890445367,219.88458531609044,49.10287370072312,0.03273841845647966,0.4980688861428193,33.00966001869167,145.85045256562228,Thermal Failure,4.069810220267985,2482,7.033093793285942,2x Reduced,p-value < 0.05
Chip002,14,Thick Layer,1432,Silicon-Germanium,3.23,71.88885921511857,56.473986792586416,-40°C to 125°C,80,High,15,145.92273624696506,190.25500435969806,50.44869152142338,0.010457392583622337,0.38075679144561747,21.309849731220837,197.84781984562773,Electromigration,8.368363514073096,2936,8.248461994539284,1.5x Reduced,p-value > 0.05
Chip003,5,Thick Layer,1427,Silicon-Germanium,3.33,83.66013546832714,183.67146705471066,-20°C to 85°C,80,High,15,129.35341120682835,171.80231074940866,52.89093301251644,0.07261428635647751,0.38866846639431474,24.85017632440408,166.40897837563745,Electromigration,6.42897469192035,2901,8.44403245490597,1.5x Reduced,p-value > 0.05
Chip004,5,Thin Layer,1772,Silicon,2.52,71.42377296920458,129.15516636294498,-20°C to 85°C,50,Medium,12,101.64233351217192,214.50541677693295,53.003347008864566,0.014390522350585579,0.7519804053527053,20.625834178746143,140.33796639179945,Mechanical Failure,4.035044194798783,2024,7.05757683046917,1.5x Reduced,p-value < 0.05
Chip005,14,Thin Layer,1509,Silicon,2.5,76.37951260587522,198.94471941789504,-40°C to 125°C,50,High,16,145.63747314395644,192.17039345532817,47.29394498914612,0.057934226746068594,0.7712533108278679,39.5978905771199,161.73840373089706,Mechanical Failure,9.149723130967065,2652,7.779439626235103,2x Reduced,p-value < 0.05
Chip006,14,Thin Layer,1448,Silicon-Germanium,3.1,86.89750621938909,61.06948471030983,-20°C to 85°C,50,Low,17,112.4113221378576,163.22762111253303,51.213543880070276,0.09659097753328448,0.2803232291938414,29.96943876065327,147.41227904967323,Mechanical Failure,7.953604547044443,2116,9.280869469366404,No Change,p-value > 0.05
Chip007,5,Thin Layer,1117,Silicon,2.8,70.46543871471651,133.07814266019813,-40°C to 125°C,80,Low,24,128.88159770457736,240.05723012363856,49.62123767688173,0.01985219740490085,0.8813105321414779,36.274359071581024,162.57959910610393,Mechanical Failure,3.384059025130601,2481,7.411329117186997,1.5x Reduced,p-value > 0.05
Chip008,7,Thick Layer,1483,Silicon-Germanium,2.9,86.28936965177871,195.39538034286485,-40°C to 125°C,50,Medium,38,108.27566587139869,219.12218576096544,57.69996713046562,0.09050319378712607,0.7434316361820229,34.798305403513986,130.05932094453192,Thermal Failure,6.807608537731452,2391,8.605930394357776,2x Reduced,p-value < 0.05
Chip009,5,Thin Layer,1463,Silicon-Germanium,3.09,75.637095495468,128.46467662552232,-40°C to 125°C,50,Medium,42,101.69395801232974,218.31838564454813,50.605302652698,0.09923278016305434,0.6064752577090444,22.4457946865728,130.6171723055422,Thermal Failure,6.36175655370061,2916,7.6456056160517125,2x Reduced,p-value < 0.05
Chip010,5,Thin Layer,1936,Silicon-Germanium,3.28,72.36329655243313,144.40979572028937,-40°C to 125°C,20,Medium,39,115.57365855663787,232.25838759116738,48.82064323496323,0.015536532361531154,0.5243792140922614,32.097840833714955,131.48338896315144,Mechanical Failure,4.610691226350844,2993,7.03636232393168,No Change,p-value > 0.05
Chip011,5,Thin Layer,1241,Silicon-Germanium,2.18,83.93474330728301,154.36230334769257,-20°C to 85°C,50,High,48,139.0247853773044,202.9661678655081,48.08970899363702,0.08946156422237152,0.5889095252109623,26.6168337476697,195.18558335414735,Thermal Failure,4.3026047128432054,2963,7.723604372798625,1.5x Reduced,p-value > 0.05
